,id,name,year,rating,certificate,duration,genre,votes,gross_income,directors_id,directors_name,stars_id,stars_name,description
47,tt0381061,casino royale,(2006),8.0,pg-13,144 min,"action, adventure, thriller",647948,"167,445,960",nm0132709,martin campbell,"nm0185819,nm1200692,nm0001132,nm0942482","daniel craig,eva green,judi dench,jeffrey wright","after earning 00 status and a licence to kill, secret agent james bond sets out on his first mission as 007. bond must defeat a private banker funding terrorists in a high-stakes game of poker at casino royale, montenegro."
48,tt2843894,emily,(v) (2012),11.0,not certified,12 min,"short, adventure, fantasy",0,0,nm1853827,tizzy gregory,"nm5097773,nm3349380,nm4244694,nm2455860","paulina lagudi ulrich,ben griesse,sheila hart,alexis beckley","a dark fairytale about a girl who enters another world, hoping to remove a scar that covers half of her face."
49,tt2693378,top chef,(2006– ),7.1,tv-14,54 min,"game-show, reality-tv",21,0,nm0823344,paul starkman,"nm0482290,nm2223487,nm2210709,nm4424020","padma lakshmi,tom colicchio,gail simmons,hugh acheson","the chef'testants set sail for alaska. while aboard, they'll tackle a quickfire of titanic proportions, elevating iceberg lettuce into a flavorful amuse bouche. for the elimination ...                see full summary »"
50,tt6959380,huskestue,(2015– ),7.8,not certified,0 min,game-show,6,0,anonymous,nm0000000,"nm1282571,nm3343726,nm4448932,nm2086628","hans olav brenner,else kåss furuseth,dag otto lauritzen,aslak sira myhre",todays themes are jesus and norwegian hits.
51,tt0886614,naruto,(2002–2007),7.5,tv-14,24 min,"animation, action, adventure",675,0,"nm1618147,nm1618152","hayato date,rion kujô","nm0847594,nm1617276,nm1468944,nm0247929","junko takeuchi,noriaki sugiyama,chie nakamura,masashi ebara",the eccentric rock lee challenges uchiha sasuke to a battle before the chuunin exam begins.
52,tt1308433,gillznfinz,(2008– ),11.0,not certified,22 min,"reality-tv, sport",0,0,anonymous,nm0000000,"nm3164019,nm3163730,nm3163245,nm3164648","vincent adam paul,christian c. chamberlain,brooks quinn,alexander t. whitfield","a real, raw and uncut look into the exciting life of the fishing world. the show blends music, nightlife and local flavor from the world's hottest fishing destinations."
53,tt0043002,stooge for a mouse,(1950),6.6,not certified,7 min,"animation, family, comedy",167,0,"/name/nm0293989/,/name/nm0000305/","friz freleng,mel blanc",nm0000305,mel blanc,"a hungry mouse decides to make one of its two obstacles to obtaining a block of cheese, by framing sylvester the cat. it starts stirring up trouble, after hearing sylvester call the bulldog...                see full summary »"
54,tt1677393,rubicon,(2010),7.5,tv-14,45 min,"crime, drama, mystery",191,0,nm0687964,jeremy podeswa,"nm0197647,nm2193754,nm0993557,nm1316767","james badge dale,jessica ann collins,lauren hodges,dallas roberts","truxton invites will on a business trip to dc, leaving the team to make a very important governmental decision on their own. katherine's attempt to move on is derailed when she finds a ...                see full summary »"
55,tt10322400,sinfonia del caos,(2014),11.0,not certified,11 min,"animation, short",0,0,"/name/nm4018433/,/name/nm10442397/","jimmy cho,cho jim san",anonymous,nm0000000,"life is an evolving magical process. from birth to death, the cycle repeats itself, revealing nature's secret: the harmony between color, shape, music and love. that is the chaos ...                see full summary »"
56,tt1910571,little cabbages all in a row,(2007 video),11.0,not certified,16 min,"short, thriller",0,0,nm4433611,adrian lilly,"nm4433431,nm3216894,nm2847946","megan johnson,david oplinger,joel rosal","after college-student carly stops to pick up peter, the man she nearly hits with her car, she begins to suspect he may be the reaper - a notorious serial killer that has been stalking the ...                see full summary »"
57,tt0173906,l'homme que j'aime,(1997 tv movie),7.1,not certified,91 min,"drama, romance, sport","1,694","1,392",nm0321403,stéphane giusti,"nm0691924,nm0223817,nm0782565,nm0778628","jean-michel portal,marcial di fonzo bo,mathilde seigner,vittoria scognamiglio",this is a combination coming out and first love story. the swimmer and diver lucard is interested in attractive martin. the film follows the characters' coming out with all its difficulties...                see full summary »
58,tt1378417,four feather falls,(1960),7.6,not certified,0 min,"family, fantasy, western",6,0,nm0665602,alan pattillo,"nm0175427,nm0663880,nm0117350,nm0333986","kenneth connor,nicholas parsons,denise bryer,david graham",the arrival in town of a medicine man spells trouble for 'doc' haggety. the newcomer professes to have a cure for anything - including a snoopy sheriff.
59,tt14850178,big brother,(2001–2022),11.0,not certified,59 min,"game-show, reality-tv",0,0,anonymous,nm0000000,"nm0472613,nm12519670,nm12522472,nm5089291","sonia kruger,sarah jane adams,marley biyendolo,adriana fernandez",a massive challenge with a massive reward will push housemates to their limits but the biggest surprise is yet to come when the mirrored room is revealed.
60,tt2192348,blockbusters,(1983– ),11.0,not certified,0 min,game-show,0,0,anonymous,nm0000000,anonymous,nm0000000,two teams of students play by answering general knowledge questions for £5 each. the game board is made up of 20 lettered hexagons. the answer to the questions would start with a letter on ...                see full summary »
61,tt9567894,fear the walking dead,(2015– ),6.8,tv-ma,44 min,"drama, horror, sci-fi","1,844",0,nm1063492,marta cunningham,"nm0416694,nm1486317,nm1192254,nm0231458","lennie james,alycia debnam-carey,maggie grace,colman domingo","strand and charlie seek safety. dorie helps dwight on his quest. morgan stays focused on the greater mission. elsewhere, alicia refuses to give up."
62,tt14121542,outdaughtered,(2016– ),8.0,tv-pg,42 min,reality-tv,7.0,0,anonymous,nm0000000,"nm8809723,nm8809724","adam busby,danielle busby","dale's positive covid-19 test puts the whole family on edge. back in quarantine with life on hold, the busbys anxiously await their test results. danielle learns the fate of the girls' upcoming school year."
63,tt5182076,the blacklist,(2013– ),7.6,tv-14,43 min,"crime, drama, mystery","1,476",0,nm0188929,anton cropper,"nm0000652,nm1443644,nm1459109,nm2375297","james spader,megan boone,diego klattenhoff,ryan eggold","the owner of a tech startup is murdered in his own home by a man known only as ""drexel"". he takes his time staging the body. meanwhile tom is rushed to hospital after sustaining two bullet wounds following the jewelry heist."
64,tt0701066,the simpsons,(1989– ),7.6,tv-pg,30 min,"animation, comedy","2,588",0,nm0026433,bob anderson,"nm0144657,nm0001413,nm0004813,nm0810379","dan castellaneta,julie kavner,nancy cartwright,yeardley smith","brad goodman, a self-help guru, encourages springfield to act more like bart, with disastrous results."
65,tt19866734,tides of history,(2017– ),11.0,not certified,41 min,history,0,0,anonymous,nm0000000,anonymous,nm0000000,the state - a centralized administration that exerts control over a territory and can coerce the people living there - is one of the driving forces of the last several thousand years of ...                see full summary »
